pitch,time,pitcher,batter,release_speed_mph,induced_vertical_break_in,horizontal_break_in,spin_rate_rpm,tilt,exit_speed_mph
1,39:05,"Albanez-Rienzo, Pietro","Lebron, Felix",88,19.10,12.42,2164,1:15,--
2,39:17,"Albanez-Rienzo, Pietro","Lebron, Felix",88,18.43,15.18,2209,1:30,67
3,39:34,"Albanez-Rienzo, Pietro","Lebron, Felix",88,17.31,13.07,2079,1:15,--
4,40:09,"Albanez-Rienzo, Pietro","Lebron, Felix",89,17.05,13.62,2185,1:15,92
5,40:51,"Albanez-Rienzo, Pietro","Medina, Dionys",88,18.91,13.25,2117,1:15,64
6,41:12,"Albanez-Rienzo, Pietro","Medina, Dionys",74,-16.46,-10.82,2309,7:00,--
7,41:25,"Albanez-Rienzo, Pietro","Vielma, Carlos",89,19.37,13.58,2193,1:15,--
8,41:43,"Albanez-Rienzo, Pietro","Vielma, Carlos",88,12.47,18.53,2099,2:00,--
9,42:01,"Albanez-Rienzo, Pietro","Vielma, Carlos",88,14.21,12.53,2022,1:30,--
10,42:18,"Albanez-Rienzo, Pietro","Vielma, Carlos",75,-4.25,-5.02,2259,7:15,--
11,42:43,"Albanez-Rienzo, Pietro","Vielma, Carlos",88,14.40,13.13,2000,1:30,--
12,43:21,"Albanez-Rienzo, Pietro","Romero, Sebastian",86,9.17,14.29,1966,2:00,--
13,43:57,"Albanez-Rienzo, Pietro","Romero, Sebastian",87,19.41,13.58,2137,1:15,--
14,44:13,"Albanez-Rienzo, Pietro","Romero, Sebastian",74,-15.45,-9.34,2308,7:00,--
15,45:01,"Albanez-Rienzo, Pietro","Romero, Sebastian",77,-3.78,-5.02,2546,7:30,--
16,45:37,"Kelly, Ronald","Santos, Jhoendris",87,10.32,17.20,2216,2:00,--
17,45:49,"Kelly, Ronald","Santos, Jhoendris",88,9.65,16.26,2272,2:00,--
18,46:05,"Kelly, Ronald","Santos, Jhoendris",81,5.69,17.82,2285,2:30,--
19,46:21,"Kelly, Ronald","Santos, Jhoendris",79,4.20,19.39,2341,2:45,--
20,46:39,"Kelly, Ronald","Santos, Jhoendris",81,5.51,-0.33,2425,11:45,--
21,47:29,"Kelly, Ronald","Santos, Jhoendris",85,8.67,18.49,2121,2:15,--
22,48:16,"Kelly, Ronald","Santos, Jhoendris",89,13.01,15.10,2306,1:45,--
23,48:36,"Kelly, Ronald","Santos, Jhoendris",89,11.18,16.90,2276,2:00,--
24,49:00,"Kelly, Ronald","Santos, Jhoendris",78,1.37,-3.55,2433,9:00,--
25,49:31,"Kelly, Ronald","Santos, Jhoendris",79,2.86,-5.85,2510,9:30,--
26,50:07,"Kelly, Ronald","Martinez, Adrian",88,11.50,14.03,2206,1:45,68
27,50:34,"Kelly, Ronald","Nieto, Angel",88,12.95,13.88,2272,1:45,--
28,51:00,"Kelly, Ronald","Nieto, Angel",88,12.44,14.97,2079,1:45,--
29,51:26,"Kelly, Ronald","Nieto, Angel",88,14.88,12.39,2152,1:30,--
30,51:48,"Kelly, Ronald","Nieto, Angel",79,0.75,-5.68,2559,8:45,62
31,52:22,"Kelly, Ronald","Nieto, Angel",89,14.98,13.19,2294,1:30,79
32,52:54,"Kelly, Ronald","Nieto, Angel",88,14.50,13.85,2241,1:30,--
33,53:26,"Kelly, Ronald","Nieto, Angel",78,3.85,-12.92,2490,9:15,--
34,53:52,"Kelly, Ronald","Nieto, Angel",82,11.61,16.97,2021,2:00,--
35,54:01,"Albanez-Rienzo, Pietro","Cardozo, Ronald",77,9.59,9.68,1604,1:45,--
36,54:10,"Albanez-Rienzo, Pietro","Cardozo, Ronald",73,-8.65,-5.19,2409,7:00,--
37,54:28,"Albanez-Rienzo, Pietro","Cardozo, Ronald",72,-13.73,-8.43,2181,7:00,--
38,54:59,"Albanez-Rienzo, Pietro","Cardozo, Ronald",83,11.79,15.58,1946,2:00,--
39,55:33,"Albanez-Rienzo, Pietro","Cardozo, Ronald",87,18.39,8.82,2028,1:00,80
40,55:59,"Albanez-Rienzo, Pietro","Paulino, Hector",82,8.03,12.39,1637,2:00,--
41,56:11,"Albanez-Rienzo, Pietro","Paulino, Hector",82,9.76,9.81,1756,1:45,--
42,56:22,"Albanez-Rienzo, Pietro","Paulino, Hector",87,14.56,15.37,2081,1:45,--
43,56:46,"Albanez-Rienzo, Pietro","Paulino, Hector",88,18.04,12.96,2079,1:15,81
44,57:13,"Albanez-Rienzo, Pietro","Suarez, Jose",77,-6.92,-2.59,2485,6:30,--
45,57:49,"Albanez-Rienzo, Pietro","Suarez, Jose",89,20.80,8.82,2183,12:45,54
46,58:26,"Kelly, Ronald","Lizardo, Jesus",86,14.84,15.70,2144,1:45,--
47,58:38,"Kelly, Ronald","Lizardo, Jesus",87,16.63,11.41,2195,1:15,--
48,58:50,"Kelly, Ronald","Lizardo, Jesus",88,18.85,9.22,2140,1:00,--
49,59:06,"Kelly, Ronald","Lizardo, Jesus",80,9.21,20.11,2230,2:15,--
50,59:27,"Kelly, Ronald","Lizardo, Jesus",80,6.42,-13.74,2521,9:45,--
51,59:43,"Kelly, Ronald","Lizardo, Jesus",81,9.13,17.64,2153,2:15,--
52,60:07,"Kelly, Ronald","Lizardo, Jesus",86,10.62,18.98,2113,2:15,--
53,60:37,"Kelly, Ronald","Lizardo, Jesus",89,12.76,17.09,2319,2:00,--
54,60:57,"Kelly, Ronald","Lizardo, Jesus",81,8.94,18.65,2307,2:15,--
