PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle
1,2026/3/19,11:17.5,1,1,"Bermudez, Jassel",1000286625,Right,CUP_POL2,"Villa Camacho, Leonel",1000358451,Right,CUP_POL11,Undefined,1,Top,0,0,0,Fastball,Cutter,InPlay,Undefined,GroundBall,Out,1,0,,88.56632,-2.328485,-0.516479,2273.761191,181.368923,12:00,6.76959,0.90444,6.58691,-21.33615,13.04906,0.28815,2.85645,0.45513,81.89666,-6.35235,-0.464044,0.422044,80.24089,-1.396258,7.440316,1935.349195,,,,35.38402,34.54307,7.457573,0.310663,-0.28283,7.77414,-0.86918,50,6.60087,1.1506,-128.82592,-5.83711,-0.47941,24.59039,-18.99616,CUP_POL2,CUP_POL11,LAV,Diamond Solutions,DIA,20260319-LAV-1,1dcd5050-2395-11f1-847e-e76328223677,89.30935,2.70199,,6.66966,,,,0.11713,2.70199,-0.44743,466b64ac-6fa4-469b-a791-4c8bbffd9b8d,2026/3/19,11:17.5,2026-03-19T09:11:17.5340000-04:00,2026-03-19T13:11:17.5340000Z,GroundBall,v3,,,,"Lopez, Daniel",1000237872,Right,CUP_POL2,7173505f-5f14-4a7e-9006-1a796630d5e3,53.91643,-129.57134,12.2952,6.76908,-5.26128,-9.49808,-0.90428,1.16514,-0.2397,304.450049,0.11893,116.58389,-12.9963,,,,,,,2.70434,-2.96818,-18.49043,,,,,,,-0.44855,15.28311,3.04928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,,60.71284,5.93131,1.39212
2,2026/3/19,11:51.6,2,1,"Bermudez, Jassel",1000286625,Right,CUP_POL2,"Magana Iturralde, Alfredo",1000321154,Right,CUP_POL11,Undefined,1,Top,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.2558,-2.147799,-0.576335,2455.396595,192.232063,12:30,6.62658,0.92737,6.81325,-17.64631,13.60304,2.76484,3.19525,0.63187,85.61272,-5.500203,-0.071147,0.402339,,,,,,,,,,,,-1.60087,8.00548,-0.89105,50,6.48094,1.24646,-134.29951,-5.51101,-2.96536,25.20864,-17.34512,CUP_POL2,CUP_POL11,LAV,Diamond Solutions,DIA,20260319-LAV-1,320e6720-2395-11f1-847e-e76328223677,93.68333,,,6.64308,,,,,,,466b64ac-6fa4-469b-a791-4c8bbffd9b8d,2026/3/19,11:51.6,2026-03-19T09:11:51.6520000-04:00,2026-03-19T13:11:51.6520000Z,,v3,,,,"Lopez, Daniel",1000237872,Right,CUP_POL2,8a36b4c3-6993-4b58-ab70-b33e5362b19c,53.68997,-134.99036,12.60432,6.62545,-5.03566,-8.67256,-0.92633,1.32773,-1.48268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,
3,2026/3/19,12:06.7,2,2,"Bermudez, Jassel",1000286625,Right,CUP_POL2,"Magana Iturralde, Alfredo",1000321154,Right,CUP_POL11,Undefined,1,Top,1,1,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,91.17862,-3.154839,-1.949162,2472.042963,198.342715,12:30,6.54832,0.91678,7.13426,-22.13336,9.50851,2.87118,1.83832,-0.61225,84.93701,-7.329656,-1.421371,0.404858,,,,,,,,,,,,-2.01043,6.13713,-0.80264,50,6.35505,4.41591,-132.64727,-7.90236,-3.6347,24.46187,-21.07862,CUP_POL2,CUP_POL11,LAV,Diamond Solutions,DIA,20260319-LAV-1,3afb8f20-2395-11f1-847e-e76328223677,93.10048,,,6.24161,,,,,,,466b64ac-6fa4-469b-a791-4c8bbffd9b8d,2026/3/19,12:06.7,2026-03-19T09:12:06.6670000-04:00,2026-03-19T13:12:06.6670000Z,,v3,,,,"Lopez, Daniel",1000237872,Right,CUP_POL2,ccd70935-cf54-447b-bfe9-80edbf484ce3,53.37036,-133.26736,12.23093,6.54859,-7.36804,-10.53931,-0.91575,4.50804,-1.81735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,
4,2026/3/19,12:29.2,2,3,"Bermudez, Jassel",1000286625,Right,CUP_POL2,"Magana Iturralde, Alfredo",1000321154,Right,CUP_POL11,Undefined,1,Top,1,1,1,Fastball,Cutter,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,91.0813,-3.210701,-0.474295,2424.486494,198.294926,12:30,6.61194,0.62249,7.11922,-22.27029,9.51205,2.85477,1.84043,0.43013,84.65201,-7.414565,0.05084,0.405755,,,,,,,,,,,,-1.65831,6.18063,-0.59518,50,6.41453,0.99934,-132.54262,-8.02649,-2.98437,25.23665,-21.0512,CUP_POL2,CUP_POL11,LAV,Diamond Solutions,DIA,20260319-LAV-1,48736f60-2395-11f1-847e-e76328223677,92.89447,,,6.42929,,,,,,,466b64ac-6fa4-469b-a791-4c8bbffd9b8d,2026/3/19,12:29.2,2026-03-19T09:12:29.2320000-04:00,2026-03-19T13:12:29.2320000Z,,v3,,,,"Lopez, Daniel",1000237872,Right,CUP_POL2,dc416f45-7433-433e-8052-67a7a1a944d8,53.38534,-133.18564,12.61832,6.6122,-7.49011,-10.5256,-0.62161,1.07538,-1.49218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,
5,2026/3/19,12:52.1,2,4,"Bermudez, Jassel",1000286625,Right,CUP_POL2,"Magana Iturralde, Alfredo",1000321154,Right,CUP_POL11,Undefined,1,Top,1,1,2,Slider,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,83.98179,-1.615797,-0.008646,2515.415568,4.906447,6:15,6.44805,0.69006,6.52859,-42.7353,-4.20701,-0.45937,1.404,0.64384,77.74018,-9.509539,-0.09238,0.446747,,,,,,,,,,,,0.24004,-1.44579,-0.68927,50,6.31751,0.03469,-122.1941,-4.75372,0.36331,23.8556,-34.36218,CUP_POL2,CUP_POL11,LAV,Diamond Solutions,DIA,20260319-LAV-1,561322f0-2395-11f1-847e-e76328223677,84.37095,,,6.24161,,,,,,,466b64ac-6fa4-469b-a791-4c8bbffd9b8d,2026/3/19,12:52.1,2026-03-19T09:12:52.0500000-04:00,2026-03-19T13:12:52.0500000Z,,v3,,,,"Lopez, Daniel",1000237872,Right,CUP_POL2,37ebca89-b668-4b25-950f-05790960fc9a,53.9764,-122.96795,11.9278,6.45364,-3.63904,-17.18109,-0.6902,0.02291,0.18165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,
6,2026/3/19,13:22.1,3,1,"Bermudez, Jassel",1000286625,Right,CUP_POL2,"Gutierrez Cortes, Kevin ",1000490424,Right,CUP_POL11,Undefined,1,Top,2,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.7434,-3.424111,-1.972035,2456.307563,205.932122,12:45,6.52586,0.70273,7.07511,-23.0545,8.4304,3.66705,1.49038,-0.78279,85.13407,-7.765092,-1.298556,0.403852,,,,,,,,,,,,-2.4613,5.66579,-0.58541,50,6.3127,4.46211,-133.36662,-8.61607,-4.47703,26.01391,-21.86814,CUP_POL2,CUP_POL11,LAV,Diamond Solutions,DIA,20260319-LAV-1,67f9a7f0-2395-11f1-847e-e76328223677,93.33223,,,6.60933,,,,,,,466b64ac-6fa4-469b-a791-4c8bbffd9b8d,2026/3/19,13:22.1,2026-03-19T09:13:22.0990000-04:00,2026-03-19T13:13:22.0990000Z,,v3,,,,"Lopez, Daniel",1000237872,Right,CUP_POL2,6f011505-d02d-4566-b824-a6401b161a57,53.42874,-134.03374,13.00696,6.52647,-8.05527,-10.93407,-0.70132,4.57692,-2.23851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,
7,2026/3/19,13:41.6,3,2,"Bermudez, Jassel",1000286625,Right,CUP_POL2,"Gutierrez Cortes, Kevin ",1000490424,Right,CUP_POL11,Undefined,1,Top,2,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.77549,-1.942668,0.058061,2487.881663,189.24285,12:15,6.46438,0.93465,7.0982,-18.87147,11.70548,1.76902,3.12813,1.13476,86.04971,-5.536399,0.383112,0.397987,,,,,,,,,,,,-0.93472,7.0243,-0.93855,50,6.34232,-0.20058,-135.12955,-5.07434,-1.75037,25.92483,-19.02024,CUP_POL2,CUP_POL11,LAV,Diamond Solutions,DIA,20260319-LAV-1,73957530-2395-11f1-847e-e76328223677,94.70781,,,6.72578,,,,,,,466b64ac-6fa4-469b-a791-4c8bbffd9b8d,2026/3/19,13:41.6,2026-03-19T09:13:41.5680000-04:00,2026-03-19T13:13:41.5680000Z,,v3,,,,"Lopez, Daniel",1000237872,Right,CUP_POL2,aec1b275-1b61-4d1a-8f41-bbec219bd32d,53.4054,-135.78131,12.96242,6.46388,-4.59617,-9.51012,-0.93406,-0.15658,-0.87519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,
8,2026/3/19,14:06.4,3,3,"Bermudez, Jassel",1000286625,Right,CUP_POL2,"Gutierrez Cortes, Kevin ",1000490424,Right,CUP_POL11,Undefined,1,Top,2,2,0,Fastball,Cutter,BallinDirt,Undefined,Undefined,Undefined,0,0,,89.58943,-4.711019,-0.774628,2411.081724,201.938596,12:45,6.61658,0.57309,7.00381,-24.29371,9.01969,3.2352,0.29906,0.13841,83.02007,-9.261644,-0.180385,0.415414,,,,,,,,,,,,-1.95028,6.37122,-0.52667,50,6.31929,1.64801,-130.05467,-11.37517,-3.35749,25.96261,-21.20572,CUP_POL2,CUP_POL11,LAV,Diamond Solutions,DIA,20260319-LAV-1,8254f0a0-2395-11f1-847e-e76328223677,90.73464,,,6.56936,,,,,,,466b64ac-6fa4-469b-a791-4c8bbffd9b8d,2026/3/19,14:06.4,2026-03-19T09:14:06.3660000-04:00,2026-03-19T13:14:06.3660000Z,,v3,,,,"Lopez, Daniel",1000237872,Right,CUP_POL2,c902ee88-85e5-4e7f-8516-9eaeff865cf3,53.50068,-130.75164,12.9813,6.61702,-10.8059,-10.60286,-0.57212,1.73814,-1.67874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,
9,2026/3/19,14:31.9,3,4,"Bermudez, Jassel",1000286625,Right,CUP_POL2,"Gutierrez Cortes, Kevin ",1000490424,Right,CUP_POL11,Undefined,1,Top,2,3,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.57094,-2.227064,-1.251981,2423.137737,191.674784,12:30,6.53113,0.64372,7.19377,-17.2695,14.81241,2.87221,3.07318,-0.25118,83.75002,-5.544983,-0.723535,0.407663,,,,,,,,,,,,-1.85362,8.82044,-0.57185,50,6.39637,2.78043,-131.83766,-5.528,-3.29447,25.45237,-16.49749,CUP_POL2,CUP_POL11,LAV,Diamond Solutions,DIA,20260319-LAV-1,9194bfa0-2395-11f1-847e-e76328223677,92.45976,,,6.82092,,,,,,,466b64ac-6fa4-469b-a791-4c8bbffd9b8d,2026/3/19,14:31.9,2026-03-19T09:14:31.9420000-04:00,2026-03-19T13:14:31.9420000Z,,v3,,,,"Lopez, Daniel",1000237872,Right,CUP_POL2,776a7cf4-acdb-434e-8fec-0ba05155a472,53.30892,-132.47493,12.72618,6.52961,-5.11494,-8.24874,-0.6425,2.86292,-1.64723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,
10,2026/3/19,14:50.7,3,5,"Bermudez, Jassel",1000286625,Right,CUP_POL2,"Gutierrez Cortes, Kevin ",1000490424,Right,CUP_POL11,Undefined,1,Top,2,3,1,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Single,0,0,,90.74589,-2.275859,-0.55348,2479.870207,185.141867,12:15,6.55847,0.61934,7.1015,-20.42426,11.6276,0.96504,2.79007,0.1975,84.03469,-6.16011,-0.37613,0.407472,76.92356,-2.21199,19.488251,2893.17522,,,,35.86147,35.86147,19.877092,0.329088,-0.65689,7.10197,-0.58666,50,6.41623,1.24253,-132.11669,-5.7756,-1.17253,25.5354,-19.49705,CUP_POL2,CUP_POL11,LAV,Diamond Solutions,DIA,20260319-LAV-1,9cd2dc80-2395-11f1-847e-e76328223677,92.50304,2.67036,,6.7112,,,,0.01371,2.67036,-0.18149,466b64ac-6fa4-469b-a791-4c8bbffd9b8d,2026/3/19,14:50.7,2026-03-19T09:14:50.7470000-04:00,2026-03-19T13:14:50.7470000Z,GroundBall,v3,,,,"Lopez, Daniel",1000237872,Right,CUP_POL2,5f3ee8d2-b3b5-4da4-a238-c3cbc452c61c,53.40211,-132.77262,12.7677,6.55816,-5.27478,-9.74852,-0.61897,1.27265,-0.58626,227.033415,0.01647,106.16675,-11.37966,,,,,,,2.67073,-4.36915,-11.38805,,,,,,,-0.18175,37.62144,-0.0531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,,52.01036,4.00487,2.08599
