PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle
1,2026/3/21,06:27.0,1,1,"Coronado Silva, Ismael",1000412298,Left,CUP_POL11,"Almonte, Jean",1000438215,Left,CUP_POL1,Undefined,1,Top,0,0,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,L,82.87219,-2.298638,2.763445,1962.16643,143.644818,10:45,5.87859,-1.04058,7.21141,-24.35001,13.92454,-9.45926,1.76443,0.67543,76.94736,-6.929251,1.023857,0.445273,,,,,,,,,,,,5.79536,8.4176,0.88365,50,5.73844,-5.52721,-120.56264,-5.40175,8.63131,20.83191,-19.63737,CUP_POL11,CUP_POL1,LAV,Diamond Solutions,DIA,20260321-LAV-2,eab2a6a0-253f-11f1-b649-cf5e5eee1654,84.65014,,,5.92483,,,,,,,9f71fa90-affe-4f9e-97cb-91830f5cefd1,2026/3/21,06:27.0,2026-03-21T12:06:27.0460000-04:00,2026-03-21T16:06:27.0460000Z,,v3,,,,"Reina, Nicolas",1000540213,Right,CUP_POL11,a5f9c76d-e65d-49dd-b17b-d3ae4e112945,53.29287,-121.13028,10.41596,5.87834,-4.86667,-9.81868,1.03746,-5.76241,4.31565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,
2,2026/3/21,06:42.1,1,2,"Coronado Silva, Ismael",1000412298,Left,CUP_POL11,"Almonte, Jean",1000438215,Left,CUP_POL1,Undefined,1,Top,0,0,1,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,84.22699,-0.275583,3.056773,1987.912439,147.661764,11:00,6.07097,-1.29321,6.84512,-23.35395,14.38517,-8.40878,3.87315,0.7962,77.5511,-4.723506,1.523149,0.442147,,,,,,,,,,,,5.2428,8.05528,1.10008,50,6.04443,-6.24816,-122.46189,-1.17146,8.01848,22.56889,-19.85412,CUP_POL11,CUP_POL1,LAV,Diamond Solutions,DIA,20260321-LAV-2,f3ac2ab0-253f-11f1-b649-cf5e5eee1654,85.24857,,,6.67589,,,,,,,9f71fa90-affe-4f9e-97cb-91830f5cefd1,2026/3/21,06:42.1,2026-03-21T12:06:42.0711424-04:00,2026-03-21T16:06:42.0711424Z,,v3,,,,"Reina, Nicolas",1000540213,Right,CUP_POL11,5fabdfb5-5c33-413e-8957-fe0f6ce859c3,53.6574,-123.13408,11.28445,6.07051,-0.58012,-9.92706,1.28973,-6.48698,4.00924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,
3,2026/3/21,06:59.8,1,3,"Coronado Silva, Ismael",1000412298,Left,CUP_POL11,"Almonte, Jean",1000438215,Left,CUP_POL1,Undefined,1,Top,0,1,1,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,84.73952,-1.886738,3.262874,1899.343298,153.53527,11:00,6.09706,-1.21194,6.88128,-22.86269,14.11225,-6.52941,2.46908,1.22053,78.83422,-6.210034,2.071218,0.437648,,,,,,,,,,,,4.22949,8.2763,1.00705,50,5.96873,-6.80232,-123.21541,-4.6415,6.60765,20.75977,-19.24414,CUP_POL11,CUP_POL1,LAV,Diamond Solutions,DIA,20260321-LAV-2,fe39bc40-253f-11f1-b649-cf5e5eee1654,86.125,,,5.9053,,,,,,,9f71fa90-affe-4f9e-97cb-91830f5cefd1,2026/3/21,06:59.8,2026-03-21T12:06:59.7569536-04:00,2026-03-21T16:06:59.7569536Z,,v3,,,,"Reina, Nicolas",1000540213,Right,CUP_POL11,f52ea56d-47c3-4f20-8e81-6246ed28af17,53.62228,-123.8242,10.37988,6.09657,-4.07716,-9.62207,1.20937,-6.99609,3.30382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,
4,2026/3/21,07:18.4,1,4,"Coronado Silva, Ismael",1000412298,Left,CUP_POL11,"Almonte, Jean",1000438215,Left,CUP_POL1,Undefined,1,Top,0,1,2,Slider,Curveball,InPlay,Undefined,FlyBall,Out,1,0,,72.68102,1.402014,1.778643,1788.640982,271.088582,3:00,5.83966,-1.43801,6.26464,-50.60711,1.46201,5.93882,2.916,0.6974,66.9948,-7.971877,2.851709,0.519352,72.22993,38.397928,-28.068426,4410.218206,95.7313,64.62835,-54.17974,235.11439,221.49134,-29.649896,4.345109,-2.60331,0.82697,1.30331,50,5.91888,-3.47177,-105.63488,1.21202,-2.94284,17.92268,-31.23924,CUP_POL11,CUP_POL1,LAV,Diamond Solutions,DIA,20260321-LAV-2,0959f0e0-2540-11f1-b649-cf5e5eee1654,72.57594,66.9681,,5.68622,,,,0.79982,2.86056,-0.45159,9f71fa90-affe-4f9e-97cb-91830f5cefd1,2026/3/21,07:18.4,2026-03-21T12:07:18.3718912-04:00,2026-03-21T16:07:18.3718912Z,FlyBall,v3,,,,"Reina, Nicolas",1000540213,Right,CUP_POL11,f3af2e00-0e2d-4fa0-a4c5-44a3e37b5acb,54.23922,-106.3517,8.96134,5.84542,2.46143,-15.61962,1.43981,-3.35407,-1.47142,,0.8022,73.2,-13.05201,2.64143,-0.15914,-0.11852,0.04236,-0.00552,0.00025,2.86026,65.80144,-18.90518,1.21367,0.00227,-0.13036,0.05729,-0.01033,0.00068,-0.45193,-39.05736,4.94435,-0.75443,0.05375,0.01636,-0.00568,0.00067,-3.00E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,,55.30991,6.53137,-1.19829
5,2026/3/21,07:56.6,2,1,"Coronado Silva, Ismael",1000412298,Left,CUP_POL11,"Martes, Elian",1000467100,Right,CUP_POL1,Undefined,1,Top,1,0,0,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,70.93541,2.286496,0.972588,1751.883707,273.985165,3:15,5.6814,-1.7891,6.49333,-52.90038,1.54402,2.65788,3.37357,-0.67464,64.98091,-7.58481,1.45503,0.531066,,,,,,,,,,,,-1.10165,0.72098,1.71987,50,5.81933,-1.83343,-103.05378,2.75583,-1.17999,17.76498,-31.4018,CUP_POL11,CUP_POL1,LAV,Diamond Solutions,DIA,20260321-LAV-2,201e0910-2540-11f1-b649-cf5e5eee1654,70.97512,,,5.9545,,,,,,,9f71fa90-affe-4f9e-97cb-91830f5cefd1,2026/3/21,07:56.6,2026-03-21T12:07:56.5686784-04:00,2026-03-21T16:07:56.5686784Z,,v3,,,,"Reina, Nicolas",1000540213,Right,CUP_POL11,ea5589e9-f67f-450b-8f4f-fcf1688f5ccf,54.00862,-103.74251,8.88249,5.68889,3.97324,-15.7009,1.79006,-1.78768,-0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,
6,2026/3/21,08:12.0,2,2,"Coronado Silva, Ismael",1000412298,Left,CUP_POL11,"Martes, Elian",1000467100,Right,CUP_POL1,Undefined,1,Top,1,1,0,Slider,Curveball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,70.68719,1.461986,0.698092,1825.342165,294.982605,3:45,5.77661,-1.50606,6.30876,-54.82928,0.00728,3.50673,2.55478,-0.57067,65.32112,-8.687943,1.333159,0.532975,,,,,,,,,,,,-1.62787,0.15445,1.4533,50,5.85805,-1.36408,-102.79063,1.16384,-1.74546,16.69382,-32.00843,CUP_POL11,CUP_POL1,LAV,Diamond Solutions,DIA,20260321-LAV-2,294ef0d0-2540-11f1-b649-cf5e5eee1654,70.72089,,,5.36607,,,,,,,9f71fa90-affe-4f9e-97cb-91830f5cefd1,2026/3/21,08:12.0,2026-03-21T12:08:11.9936512-04:00,2026-03-21T16:08:11.9936512Z,,v3,,,,"Reina, Nicolas",1000540213,Right,CUP_POL11,a24bb25d-bf06-44bd-b03b-29903d1db457,54.19459,-103.46961,8.34691,5.78424,2.46571,-16.00421,1.50734,-1.29309,-0.87273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,
7,2026/3/21,08:28.3,2,3,"Coronado Silva, Ismael",1000412298,Left,CUP_POL11,"Martes, Elian",1000467100,Right,CUP_POL1,Undefined,1,Top,1,1,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,73.0195,1.146878,0.375328,1368.416977,108.185412,9:30,5.72701,-1.41411,7.14516,-44.54672,5.26016,-11.40721,3.05479,-2.02441,67.21938,-7.275663,-1.722811,0.507944,,,,,,,,,,,,6.18792,3.02425,1.39448,50,5.78148,-0.36245,-106.30235,1.11465,7.08134,18.2039,-28.71315,CUP_POL11,CUP_POL1,LAV,Diamond Solutions,DIA,20260321-LAV-2,33081b60-2540-11f1-b649-cf5e5eee1654,74.20584,,,5.80012,,,,,,,9f71fa90-affe-4f9e-97cb-91830f5cefd1,2026/3/21,08:28.3,2026-03-21T12:08:28.3167232-04:00,2026-03-21T16:08:28.3167232Z,,v3,,,,"Reina, Nicolas",1000540213,Right,CUP_POL11,6294b933-2506-42aa-bbb0-4a0940837e96,53.3571,-106.87569,9.10195,5.73214,2.01899,-14.35658,1.4094,-0.58548,3.54067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,
8,2026/3/21,08:57.7,2,4,"Coronado Silva, Ismael",1000412298,Left,CUP_POL11,"Martes, Elian",1000467100,Right,CUP_POL1,Undefined,1,Top,1,2,1,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,83.02014,0.249821,0.749155,1846.6159,136.646129,10:30,6.02888,-1.05603,6.7039,-26.32143,12.57556,-10.83178,4.06388,-1.27363,76.62797,-4.730957,-1.225116,0.448879,,,,,,,,,,,,5.87776,6.93331,1.00984,50,6.03489,-1.19777,-120.85736,-0.16385,8.77164,21.57337,-21.8272,CUP_POL11,CUP_POL1,LAV,Diamond Solutions,DIA,20260321-LAV-2,4481fbe0-2540-11f1-b649-cf5e5eee1654,83.97013,,,6.39218,,,,,,,9f71fa90-affe-4f9e-97cb-91830f5cefd1,2026/3/21,08:57.7,2026-03-21T12:08:57.7299968-04:00,2026-03-21T16:08:57.7299968Z,,v3,,,,"Reina, Nicolas",1000540213,Right,CUP_POL11,6c06ce1e-4464-44ad-8949-b6478a8310a7,53.79837,-121.53348,10.78669,6.0293,0.52023,-10.9136,1.05169,-1.47268,4.38582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,
9,2026/3/21,09:20.9,2,5,"Coronado Silva, Ismael",1000412298,Left,CUP_POL11,"Martes, Elian",1000467100,Right,CUP_POL1,Undefined,1,Top,1,3,1,Fastball,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,82.5301,-1.51308,1.488143,1785.863651,137.87988,10:30,5.98784,-1.16711,6.81045,-26.30202,13.02552,-10.72827,2.41452,-0.70288,76.19018,-6.489053,-0.472129,0.451356,,,,,,,,,,,,6.06713,7.67284,1.0744,50,5.88007,-2.7541,-120.07841,-3.84155,8.91422,21.87857,-20.90062,CUP_POL11,CUP_POL1,LAV,Diamond Solutions,DIA,20260321-LAV-2,5262fe30-2540-11f1-b649-cf5e5eee1654,83.50924,,,6.33992,,,,,,,9f71fa90-affe-4f9e-97cb-91830f5cefd1,2026/3/21,09:20.9,2026-03-21T12:09:20.9073664-04:00,2026-03-21T16:09:20.9073664Z,,v3,,,,"Reina, Nicolas",1000540213,Right,CUP_POL11,041be640-25fe-4574-9f5b-95043624e3fa,53.69224,-120.74927,10.93929,5.98803,-3.20068,-10.45031,1.16303,-3.02743,4.45711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,
10,2026/3/21,09:45.1,2,6,"Coronado Silva, Ismael",1000412298,Left,CUP_POL11,"Martes, Elian",1000467100,Right,CUP_POL1,Undefined,1,Top,1,3,2,Fastball,Changeup,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,84.57348,-2.149394,2.235221,1872.816001,145.914632,10:45,6.02436,-1.07016,6.4212,-23.91308,13.90544,-8.70063,2.05322,0.26069,78.55547,-6.631468,0.65832,0.442613,,,,,,,,,,,,5.11315,8.12705,0.91445,50,5.85964,-4.48845,-122.97951,-5.29011,7.9376,21.26539,-19.5577,CUP_POL11,CUP_POL1,LAV,Diamond Solutions,DIA,20260321-LAV-2,60c3dee0-2540-11f1-b649-cf5e5eee1654,85.15899,,,6.01802,,,,,,,9f71fa90-affe-4f9e-97cb-91830f5cefd1,2026/3/21,09:45.1,2026-03-21T12:09:45.1190000-04:00,2026-03-21T16:09:45.1190000Z,,v3,,,,"Reina, Nicolas",1000540213,Right,CUP_POL11,04d8c10c-1753-46c1-99af-cc004e16f3a8,54.08318,-123.68355,10.63269,6.02406,-4.64261,-9.77885,1.0674,-4.75125,3.9688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.61312,2.74401,1.733683,1.010327,0.55462,1.95237,-0.2704,-1.21624,4.33785,-1.77653,72.86794,5.21884,-52.12896,-1.1848,78.10292,-4.7614,4.38197,16.16605,-15.18545,-1.82182,-55.15653,5.31369,High,High,High,,,High,High,High,,,
